Entity Template,,Statement Template,,,,,,,,,
,,Property constraints,,Value constraints,,,,,,Cardinality,
Entity ID,Entity label,Property URI,Property label,Value type,Value entity ID,Value(s),Value URI stem,Value string language,Value string datatype,Min ,Max
painting,Painting,wdt:P31,Instance of,URI,,wd:Q3305213,,,,,
,,wdt:P571,Inception,string,,,,,dateTime,0,1
,,wdt:P276,Location,,,,,,,1,-1
,,wdt:P1476,Title,,,,,,,1,-1
,,wdt:P195,Collection,,,,,,,1,-1
,,wdt:P170,Creator,,creator,,,,,1,-1
creator,Artist,wdt:P31,Instance of,URI,,,wd:~,,,,
